;planificacion_slug;convocatoria_slug;adjudicacion_slug;precalificacion_slug;convenio_slug;nro_licitacion;nombre_licitacion;tipo_procedimiento;categoria;convocante;_etapa_licitacion;etapa_licitacion;fecha_entrega_oferta;tipo_licitacion;fecha_estimada;fecha_publicacion_convocatoria;geo
12;406915-provision-combustibles-lubricantes-1;;;;;406915;PROVISIÓN DE COMBUSTIBLES Y LUBRICANTES;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Trinidad / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
13;406935-construcciones-varias-1;;;;;406935;CONSTRUCCIONES VARIAS;LPN - Licitación Pública Nacional;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Trinidad / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
14;407408-provision-combustible-lubricante-institucion-1;;;;;407408;PROVISION DE COMBUSTIBLE Y LUBRICANTE PARA LA INSTITUCION;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Tebicuarymi / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
15;408919-combustibles-lubricantes-1;;;;;408919;Combustibles y Lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
16;409024-combustibles-lubricantes-1;;;;;409024;Combustibles y Lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
17;409143-adquisicion-maquinarias-equipos-herramientas-mayores-1;;;;;409143;Adquisicion de Maquinarias, equipos y herramientas mayores;LPN - Licitación Pública Nacional;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
18;409319-provision-combustibles-lubricantes-1;;;;;409319;PROVISION DE COMBUSTIBLES Y LUBRICANTES;CO - Concurso de Ofertas;15 - Combustibles y Lubricantes;Municipalidad de Bella Vista - Itapúa / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
19;409405-adquisicion-textiles-vestuarios-1;;;;;409405;ADQUISICIÓN DE TEXTILES Y VESTUARIOS;CD - Contratación Directa;10 - Textiles, vestuarios y calzados;Municipalidad de Bella Vista - Itapúa / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
20;409418-servicios-tecnicos-profesionales-1;;;;;409418;SERVICIOS TECNICOS Y PROFESIONALES;CO - Concurso de Ofertas;7 - Servicios Técnicos;Municipalidad de Bella Vista - Itapúa / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
21;409424-servicio-limpieza-oficinas-sanitarios-frente-villeta-1;409424-servicio-limpieza-oficinas-sanitarios-tres-frentes-servicio-inc-1;409424-servicio-limpieza-oficinas-sanitarios-tres-frentes-servicio-inc-1;;;409424;Servicio de Limpieza de Oficinas y Sanitarios de los tres frentes de Servicio de la INC;LPN - Licitación Pública Nacional;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;2022-08-30 09:00:00;tradicional;2022-12-31 00:00:00;2022-07-29 12:51:04;
22;409461-construcciones-obras-uso-publico-1;;;;;409461;CONSTRUCCIONES DE OBRAS DE USO PUBLICO;CO - Concurso de Ofertas;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Bella Vista - Itapúa / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
23;409670-adquisicion-motores-electricos-1;;;;;409670;Adquisición de Motores Electricos;LPN - Licitación Pública Nacional;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Industria Nacional del Cemento / Empresas Públicas;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
24;409700-adquisicion-equipos-transporte-1;;;;;409700;Adquisición de Equipos de Transporte;LPN - Licitación Pública Nacional;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Industria Nacional del Cemento / Empresas Públicas;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
25;409736-adquisicion-activos-intangibles-software-1;;;;;409736;Adquisicion de Activos intangibles Software;CD - Contratación Directa;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
26;409751-contratacion-servicios-provision-pasajes-aereos-conacom-ad-referendum-1;;;;;409751;CONTRATACIÓN DE SERVICIOS PARA PROVISION DE PASAJES AEREOS PARA LA CONACOM.AD REFERENDUM;CD - Contratación Directa;1 - Pasajes y Transportes;Comisión Nacional de Competencia / Entes Autónomos y Autárquicos;CAN;Anulada o Cancelada;;tradicional;2022-12-31 00:00:00;;
27;409848-combustible-lubricantes-1;;;;;409848;Combustible y Lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
28;409990-adquisicion-envases-cemento-1;409990-adquisicion-bolsas-vacias-envases-cemento-1;409990-adquisicion-bolsas-vacias-envases-cemento-1;;;409990;Adquisición de Bolsas Vacías para Envases de Cemento;LPN - Licitación Pública Nacional;11 - Utiles de oficina, Productos de papel y cartón e impresos;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;2022-11-07 10:00:00;tradicional;2022-12-31 00:00:00;2022-10-08 10:45:27;
29;410075-combustible-lubricantes-1;;;;;410075;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
30;410214-combustible-lubricantes-1;;;;;410214;Combustible y Lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
31;410316-servicios-ceremonial-gastronomico-funerarios-1;;;;;410316;Servicios de ceremonial, gastronomico y funerarios;CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
32;410321-otros-bienes-consumo-1;;;;;410321;Otros Bienes de Consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
33;410325-otros-bienes-consumo-1;;;;;410325;Otros bienes de Consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
34;410328-mantenimieto-reparaciones-menores-1;;;;;410328;Mantenimieto y reparaciones menores;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
35;410337-mantenimiento-reparaciones-1;;;;;410337;Mantenimiento y reparaciones;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
36;410454-servicio-internet-redundante-nube-plurianual-1;410454-cd-mitic-n-13-2022-servicio-internet-redundante-nube-plurianual-1;410454-cd-mitic-n-13-2022-servicio-internet-redundante-nube-plurianual-1;;;410454;CD MITIC Nº 13/2022 SERVICIO DE INTERNET REDUNDANTE PARA NUBE - PLURIANUAL;CD - Contratación Directa;7 - Servicios Técnicos;Ministerio de Tecnologías de la Información y Comunicación / Poder Ejecutivo;ADJ;Adjudicada;2022-11-08 08:30:00;tradicional;2022-12-31 00:00:00;2022-10-25 16:00:35;
37;410497-servicio-limpieza-1;410497-servicio-limpieza-institucional-1;410497-servicio-limpieza-institucional-1;;;410497;Servicio de Limpieza Institucional;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Instituto Forestal Nacional / Entes Autónomos y Autárquicos;ADJ;Adjudicada;2022-08-08 09:45:00;tradicional;2022-12-31 00:00:00;2022-07-28 12:11:12;
38;411047-ayuda-social-1;;;;;411047;Ayuda Social;CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
39;411048-otros-bienes-consumo-1;;;;;411048;Otros Bienes de Consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
40;411049-otros-bienes-consumo-1;;;;;411049;Otros Bienes de Consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
41;411050-mantenimiento-reparacion-1;;;;;411050;Mantenimiento y Reparación;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
42;411051-mantenimiento-reparacion-1;;;;;411051;Mantenimiento y reparacion;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
43;411052-ayuda-social-1;;;;;411052;Ayuda Social;CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
44;411053-otros-bienes-consumo-1;;;;;411053;Otros Bienes de consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
45;411054-otros-bienes-consumo-1;;;;;411054;Otros Bienes de consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
46;411055-mantenimiento-reparacion-1;;;;;411055;Mantenimiento y Reparacion;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
47;411056-mantenimiento-reparacion-1;;;;;411056;Mantenimiento y reparacion;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
48;411057-mantenimiento-reparacion-1;;;;;411057;Mantenimiento y reparacion;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Paso Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
49;411058-combustible-lubricantes-1;;;;;411058;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
50;411059-combustible-lubricantes-1;;;;;411059;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
51;411060-combustible-lubricantes-1;;;;;411060;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Arroyito / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
52;411061-otros-bienes-consumo-1;;;;;411061;Otros Bienes de consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
53;411062-otros-bienes-consumo-1;;;;;411062;Otros Bienes de consumo;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
54;411063-ayuda-social-1;;;;;411063;Ayuda social;CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
55;411064-mantenimiento-reparacion-1;;;;;411064;Mantenimiento y reparacion;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
56;411065-mantenimiento-reparacion-1;;;;;411065;Mantenimiento y reparacion;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
57;411066-combustible-lubricantes-1;;;;;411066;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
58;411067-combustible-lubricantes-1;;;;;411067;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
59;411068-combustible-lubricantes-1;;;;;411068;Combustible y lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Azotey / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
60;411135-adquisicion-cajones-funebres-ataud-1;;;;;411135;ADQUISICIÓN DE CAJONES FÚNEBRES (ATAÚD);CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
61;411136-estudios-proyectos-inversion-enfocados-educacion-secretaria-obras-publicas-municipal-1;;;;;411136;ESTUDIOS DE PROYECTOS DE INVERSIÓN ENFOCADOS EN EDUCACIÓN PARA LA SECRETARIA DE OBRAS PÚBLICAS DE LA MUNICIPALIDA DE SAN COSME Y DAMIÁN;CD - Contratación Directa;5 - Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
62;411137-estudios-proyectos-inversion-enfocados-obras-publicas-municipalidad-san-cosme-damian-1;;;;;411137;ESTUDIOS DE PROYECTOS DE INVERSIÓN ENFOCADOS EN OBRAS PÚBLICAS PARA LA MUNICIPALIDAD DE SAN COSME Y DAMIÁN;CD - Contratación Directa;5 - Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
63;411139-adquisicion-combustibles-lubricantes-secretaria-agricultura-municipalidad-san-cosme-1;;;;;411139;ADQUISICIÓN DE COMBUSTIBLES Y LUBRICANTES PARA LA SECRETARIA DE AGRICULTURA DE LA MUNICIPALIDAD DE SAN COSME Y DAMIÁN;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
64;411141-adquisicion-activos-intangibles-municipalidad-san-cosme-damian-1;;;;;411141;ADQUISICIÓN DE ACTIVOS INTANGIBLES PARA LA MUNICIPALIDAD DE SAN COSME Y DAMIÁN;CD - Contratación Directa;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
65;411142-adquisicion-maquinarias-equipos-herramientas-general-municipalidad-san-cosme-damian-1;;;;;411142;ADQUISICIÓN DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS EN GENERAL PARA LA MUNICIPALIDAD DE SAN COSME Y DAMIÁN;CO - Concurso de Ofertas;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
66;411143-mantenimiento-reparacion-maquinarias-equipos-herramientas-mayores-municipalidad-san-1;;;;;411143;MANTENIMIENTO Y REPARACIÓN DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS MAYORES DE LA MUNICIPALIDAD DE SAN COSME Y DAMIÁN;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Municipalidad de San Cosme y Damián / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
67;411144-adquisicion-camioneta-doble-cabina-municipalidad-san-cosme-damian-1;411144-adquisicion-camioneta-doble-cabina-municipalidad-san-cosme-damian-plurianual-1;411144-adquisicion-camioneta-doble-cabina-municipalidad-san-cosme-damian-plurianual-1;;;411144;ADQUISICIÓN DE CAMIONETA DOBLE CABINA PARA LA MUNICIPALIDAD DE SAN COSME Y DAMIÁN - PLURIANUAL.;CO - Concurso de Ofertas;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Municipalidad de San Cosme y Damián / Municipalidades;ADJ;Adjudicada;2022-10-20 08:00:00;tradicional;2022-12-31 00:00:00;2022-09-16 12:09:54;
68;411394-adquisicion-datacenter-1;;;;;411394;ADQUISICIÓN DE UN DATACENTER;LPN - Licitación Pública Nacional;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
69;411739-adquisicion-seguro-vehiculos-1;411739-adquisicion-seguro-vehiculos-1;411739-adquisicion-seguro-vehiculos-1;;;411739;ADQUISICION DE SEGURO PARA VEHICULOS;LPN - Licitación Pública Nacional;6 - Seguros;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;2022-10-06 10:00:00;tradicional;2022-12-31 00:00:00;2022-09-12 12:45:52;
70;412936-adquisicion-equipos-oficina-1;412936-adquisicion-equipos-oficina-1;412936-adquisicion-equipos-oficina-1;;;412936;adquisicion de equipos de oficina;CD - Contratación Directa;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Municipalidad de Tebicuarymi / Municipalidades;ADJ;Adjudicada;2022-06-10 07:00:00;tradicional;2022-12-31 00:00:00;2022-05-31 16:44:21;
71;412992-consultoria-sistema-1;;;;;412992;Consultoría de sistema;CD - Contratación Directa;5 - Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión;Facultad de Filosofia / Universidad Nacional de Asunción / Universidades Nacionales;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
72;413363-equipos-informaticos-1;;;;;413363;EQUIPOS INFORMATICOS;CD - Contratación Directa;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
73;413371-construccion-palacete-municipal-1;;;;;413371;CONSTRUCCION PALACETE MUNICIPAL;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
74;413374-consultoria-trabajo-campo-relevamiento-datos-catastrales-1;;;;;413374;Consultoría para Trabajo de campo y relevamiento de datos catastrales;CD - Contratación Directa;5 - Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión;Municipalidad de Horqueta / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
75;413620-adquisicion-repuestos-camiones-marca-mercedes-benz-plurianual-1;;;;;413620;ADQUISICION DE REPUESTOS PARA CAMIONES DE LA MARCA MERCEDES BENZ - PLURIANUAL;LPN - Licitación Pública Nacional;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Municipalidad de Asunción / Municipalidades;PLAN;Planificada;;tradicional;2023-09-30 00:00:00;;
